file_name,embedding
0_3.txt,[ 0.92016757 -0.66456145]
10000_4.txt,[0.14256656 0.13148896]
10001_4.txt,[ 2.7028294 -2.2947273]
10002_1.txt,[ 2.9888136 -2.5911784]
10003_1.txt,[ 3.2191155 -2.994856 ]
10004_3.txt,[ 0.34891334 -0.19811618]
10005_3.txt,[-1.8927786  1.9588305]
10006_4.txt,[ 2.8933299 -2.4676616]
10007_1.txt,[ 2.9129052 -2.56062  ]
10008_2.txt,[ 2.2717984 -1.8402584]
10009_1.txt,[ 3.1587884 -2.828231 ]
1000_4.txt,[ 2.1001089 -1.7358212]
10010_3.txt,[-0.16669157  0.22413813]
10011_3.txt,[ 3.0273802 -2.6219156]
10012_1.txt,[ 3.297588 -2.988663]
10013_1.txt,[ 2.5434573 -2.3512223]
10014_2.txt,[ 3.2915852 -2.864486 ]
10015_2.txt,[ 2.250854  -1.6844146]
10016_4.txt,[0.3557169  0.04613434]
10017_4.txt,[ 1.4145845 -1.0488744]
10018_3.txt,[ 3.0773435 -2.7896948]
10019_3.txt,[ 1.013738  -0.7913655]
1001_4.txt,[ 1.2945468 -1.0066568]
10020_3.txt,[ 2.7394073 -2.3872664]
10021_2.txt,[ 3.4998868 -3.1853762]
10022_4.txt,[ 2.027663  -1.5651485]
10023_1.txt,[ 1.1595333 -1.05447  ]
10024_3.txt,[ 1.8913726 -1.5375959]
10025_1.txt,[ 2.3806546 -1.9986875]
10026_2.txt,[ 1.6589028 -1.2511057]
10027_1.txt,[ 2.3185697 -1.9759849]
10028_2.txt,[ 2.952574 -2.627977]
10029_1.txt,[ 2.800284  -2.4326854]
1002_3.txt,[ 3.1775677 -2.815377 ]
10030_1.txt,[ 2.5970066 -2.2767985]
10031_2.txt,[ 2.922612 -2.608743]
10032_4.txt,[ 2.542415  -2.1996942]
10033_1.txt,[ 2.50101   -2.0440512]
10034_1.txt,[ 1.7090529 -1.5356675]
10035_1.txt,[ 3.3728058 -3.0327623]
10036_1.txt,[ 2.3046365 -2.00346  ]
10037_1.txt,[ 3.267285  -2.9910986]
10038_3.txt,[ 2.4781635 -2.1161342]
10039_1.txt,[ 2.1104932 -1.7846662]
1003_3.txt,[ 1.604039  -1.3740007]
10040_2.txt,[ 2.5545683 -2.225813 ]
10041_1.txt,[ 2.9121878 -2.6435196]
10042_1.txt,[ 1.9735686 -1.6349367]
10043_1.txt,[ 1.2558054 -0.8801273]
10044_1.txt,[ 2.8917887 -2.6354911]
10045_1.txt,[ 3.213994  -2.8318794]
10046_1.txt,[ 3.106118  -2.5837371]
10047_1.txt,[ 2.7228312 -2.3207943]
10048_4.txt,[ 2.5305483 -2.0858088]
